x,y
100,0
99.9,0.0049975
99.8,0.00998999
99.7,0.0149775
99.6,0.0199599
99.5,0.0249374
99.4,0.0299098
99.3,0.0348772
99.2,0.0398396
99.1,0.0447969
99,0.0497492
98.9,0.0546964
98.8,0.0596386
98.7,0.0645757
98.6,0.0695077
98.5,0.0744347
98.4,0.0793566
98.3,0.0842734
98.2,0.0891851
98.1,0.0940917
98,0.0989933
97.9,0.10389
97.8,0.108781
97.7,0.113667
97.6,0.118548
97.5,0.123424
97.4,0.128295
97.3,0.133161
97.2,0.138021
97.1,0.142877
97,0.147727
96.9,0.152572
96.8,0.157412
96.7,0.162247
96.6,0.167077
96.5,0.171901
96.4,0.176721
96.3,0.181535
96.2,0.186344
96.1,0.191147
96,0.195946
95.9,0.200739
95.8,0.205527
95.7,0.21031
95.6,0.215088
95.5,0.21986
95.4,0.224627
95.3,0.229389
95.2,0.234146
95.1,0.238897
95,0.243643
94.9,0.248384
94.8,0.25312
94.7,0.25785
94.6,0.262575
94.5,0.267295
94.4,0.27201
94.3,0.276719
94.2,0.281423
94.1,0.286122
94,0.290815
93.9,0.295503
93.8,0.300186
93.7,0.304863
93.6,0.309535
93.5,0.314201
93.4,0.318863
93.3,0.323519
93.2,0.328169
93.1,0.332815
93,0.337454
92.9,0.342089
92.8,0.346718
92.7,0.351342
92.6,0.35596
92.5,0.360573
92.4,0.365181
92.3,0.369783
92.2,0.374379
92.1,0.378971
92,0.383557
91.9,0.388137
91.8,0.392712
91.7,0.397281
91.6,0.401846
91.5,0.406404
91.4,0.410957
91.3,0.415505
91.2,0.420047
91.1,0.424584
91,0.429115
90.9,0.433641
90.8,0.438161
90.7,0.442676
90.6,0.447185
90.5,0.451689
90.4,0.456187
90.3,0.46068
90.2,0.465167
90.1,0.469648
90,0.474125
89.9,0.478595
89.8,0.48306
89.7,0.487519
89.6,0.491973
89.5,0.496421
89.4,0.500864
89.3,0.505301
89.2,0.509732
89.1,0.514158
89,0.518578
88.9,0.522993
88.8,0.527402
88.7,0.531805
88.6,0.536203
88.5,0.540595
